model,layer,metric,score
hubert_kmeans,3,cluster_purity,0.10185685008764267
hubert_kmeans,3,pnmi,0.5339695811271667
hubert_kmeans,3,codebook_perplexity,242.77920532226562
hubert_kmeans,3,active_codewords,256.0
hubert_kmeans,3,bitrate,272.59147993392105
hubert_kmeans,4,phone_purity,0.5711349844932556
hubert_kmeans,4,cluster_purity,0.1048700287938118
hubert_kmeans,4,pnmi,0.5490209460258484
hubert_kmeans,4,codebook_perplexity,242.8091278076172
hubert_kmeans,4,active_codewords,256.0
hubert_kmeans,4,bitrate,265.7939436568248
hubert_kmeans,5,phone_purity,0.6101977825164795
hubert_kmeans,5,cluster_purity,0.12010914087295532
hubert_kmeans,5,pnmi,0.5888171195983887
hubert_kmeans,5,codebook_perplexity,242.95387268066406
hubert_kmeans,5,active_codewords,256.0
hubert_kmeans,5,bitrate,251.42960651724542
hubert_kmeans,6,phone_purity,0.645203709602356
hubert_kmeans,6,cluster_purity,0.12859678268432617
hubert_kmeans,6,pnmi,0.6137996315956116
hubert_kmeans,6,codebook_perplexity,241.53350830078125
hubert_kmeans,6,active_codewords,256.0
hubert_kmeans,6,bitrate,235.89686007212808
hubert_kmeans,7,phone_purity,0.6693922877311707
hubert_kmeans,7,cluster_purity,0.1439942717552185
hubert_kmeans,7,pnmi,0.6366180181503296
hubert_kmeans,7,codebook_perplexity,234.7568359375
hubert_kmeans,7,active_codewords,256.0
hubert_kmeans,7,bitrate,218.55376774925514
hubert_kmeans,8,phone_purity,0.6598917245864868
hubert_kmeans,8,cluster_purity,0.14479854702949524
hubert_kmeans,8,pnmi,0.6256164908409119
hubert_kmeans,8,codebook_perplexity,233.00865173339844
hubert_kmeans,8,active_codewords,256.0
hubert_kmeans,8,bitrate,218.06754846435766
hubert_kmeans,9,phone_purity,0.6493246555328369
hubert_kmeans,9,cluster_purity,0.14968058466911316
hubert_kmeans,9,pnmi,0.617432713508606
hubert_kmeans,9,codebook_perplexity,229.43600463867188
hubert_kmeans,9,active_codewords,256.0
hubert_kmeans,9,bitrate,220.65330287489093
hubert_kmeans,10,phone_purity,0.6515150666236877
hubert_kmeans,10,cluster_purity,0.14334040880203247
hubert_kmeans,10,pnmi,0.6261153221130371
hubert_kmeans,10,codebook_perplexity,229.79649353027344
hubert_kmeans,10,active_codewords,256.0
hubert_kmeans,10,bitrate,234.13185228891194
hubert_kmeans,11,phone_purity,0.6592243909835815
hubert_kmeans,11,cluster_purity,0.13290469348430634
hubert_kmeans,11,pnmi,0.6367963552474976
hubert_kmeans,11,codebook_perplexity,234.32798767089844
hubert_kmeans,11,active_codewords,256.0
hubert_kmeans,11,bitrate,236.7837070989607
hubert_kmeans,12,phone_purity,0.6449894905090332
hubert_kmeans,12,cluster_purity,0.13890433311462402
hubert_kmeans,12,pnmi,0.6198999285697937
hubert_kmeans,12,codebook_perplexity,237.01068115234375
hubert_kmeans,12,active_codewords,256.0
hubert_kmeans,12,bitrate,223.99984746061673
wav2vec2_kmeans,6,phone_purity,0.6461796164512634
wav2vec2_kmeans,6,cluster_purity,0.16392818093299866
wav2vec2_kmeans,6,pnmi,0.6089372038841248
wav2vec2_kmeans,6,codebook_perplexity,219.96755981445312
wav2vec2_kmeans,6,active_codewords,256.0
wav2vec2_kmeans,6,bitrate,234.37909320633042
